"defi","Intitulé","cat_defi","nb_coauteurs","Indicateur","Quelle.donnée.faut.il.surveiller..","Exemples.de.réponses.possibles","Afin.de.suivre.les.progrès..à.quelle.fréquence.est.il.nécessaire.de.surveiller.cette.donnée..","Qui.peut.renseigner.cette.donnée..","Champ.d.application","clarte_cons","cible_cons","qua_cons","finpro_cons","clarte_rev1","clarte_rev2","cible_rev1","cible_rev2","qua_rev1","qua_rev2","finpro_rev1","finpro_rev2","rev_id_12"
"61","Comment sensibiliser les élèves à un usage pertinent et raisonné des écrans ?","Gérer les comportements",6,"#1a","Sentiment de frustration des élèves suite à une période sans écran (“Pas du tout d’accord” … “Tout à fait d’accord”)","","En début de protocole puis tout les 3 mois","les élèves","collège et lycée","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Comment sensibiliser les élèves à un usage pertinent et raisonné des écrans ?","Gérer les comportements",6,"#1b","Sentiment de libération des élèves suite à une période sans écran (“Pas du tout d’accord” … “Tout à fait d’accord”)","","En début de protocole puis tout les 3 mois","les élèves","collège et lycée","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Comment sensibiliser les élèves à un usage pertinent et raisonné des écrans ?","Gérer les comportements",6,"#1c","Sentiment de soulagement des élèves suite à une période sans écran (“Pas du tout d’accord” … “Tout à fait d’accord”)","","En début de protocole puis tout les 3 mois","les élèves","collège et lycée","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Comment sensibiliser les élèves à un usage pertinent et raisonné des écrans ?","Gérer les comportements",6,"#1d","Sentiment de niveau de concentration des élèves suite à une période sans écran (“Pas du tout d’accord” … “Tout à fait d’accord”)","","En début de protocole puis tout les 3 mois","les élèves","collège et lycée","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Comment sensibiliser les élèves à un usage pertinent et raisonné des écrans ?","Gérer les comportements",6,"#2","Nombre de questions techniques de l'élèves sur ce qui est affiché sur l'écran.","Nombre de questions","Toute séance de travaux pratiques assistés par ordinateur (T.P.A.O)","L'enseignant qui répond à ces questions","Tout niveau scolaire","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Comment faire en sorte que les étudiants deviennent des parties prenantes du processus d'évaluation de leur apprentissage ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #1","Satisfaction des élèves vis-à-vis des modalités d'évaluation qu'ils ont choisies","Pour modalité X : ""Satisfait"" Pour modalité Y : ""Pas vraiment satisfait"" etc","Impérativement 1 au début et 1 à la fin du semestre.Éventuellement 2 ou 3 fois intermédiaires","Les élèves","Tout dispositif pédagogique :Primaire jusqu'à l'enseignement supérieur","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"62","Comment faire en sorte que les étudiants deviennent des parties prenantes du processus d'évaluation de leur apprentissage ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #2","Rapport du nombre d'évaluation ou les élèves en sont parties-prenantes ( auto-évaluation et évaluation par les pairs) par rapport au nombres d'évaluation totales","“ X évaluations ou les élèves sont parties prenantes sur Y évaluations totales","Impérativement 1 fois à la fin du semestre + 2 ou 3 fois au fil du semestre pour suivre l'évolution","Le professeur et/ou les élèves","Tout dispositif pédagogique :Primaire jusqu'à l'enseignement supérieur","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"62","Comment faire en sorte que les étudiants deviennent des parties prenantes du processus d'évaluation de leur apprentissage ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #3a","Nombre de modalités d’évaluation proposées par les élèves","5 propositions","Vers le début du semestre puis 2 ou 3 fois au milieu du semestre","Le professeur","Tout dispositif pédagogique :Primaire jusqu'à l'enseignement supérieur","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Processus","IA/EC"
"62","Comment faire en sorte que les étudiants deviennent des parties prenantes du processus d'évaluation de leur apprentissage ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #3b","Nombre de modalités d’évaluation proposées par les élèves qui sont jugées pertinentes par l’enseignant","3 propositions pertinentes","Vers le début du semestre puis 2 ou 3 fois au milieu du semestre","Le professeur","Tout dispositif pédagogique :Primaire jusqu'à l'enseignement supérieur","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Processus","IA/EC"
"62","Comment faire en sorte que les étudiants deviennent des parties prenantes du processus d'évaluation de leur apprentissage ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #4a","Quel est le niveau de compréhension des étudiants sur les attentes de l’enseignant ?","","Au début et à la fin du projet/semestre","Les élèves","Tout dispositif pédagogique :Primaire jusqu'à l'enseignement supérieur","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"62","Comment faire en sorte que les étudiants deviennent des parties prenantes du processus d'évaluation de leur apprentissage ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #4b","Quel est le niveau de compréhension des étudiants sur les compétences demandées ?","","Au début et à la fin du projet/semestre","Les élèves","Tout dispositif pédagogique :Primaire jusqu'à l'enseignement supérieur","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"62","Comment faire en sorte que les étudiants deviennent des parties prenantes du processus d'évaluation de leur apprentissage ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #4c","Est ce que les objectifs du cours semblent clairs ?","BeaucoupMoyennementPas du tout","Au début et à la fin du projet/semestre","Les élèves","Tout dispositif pédagogique :Primaire jusqu'à l'enseignement supérieur","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"65","Comment créer un espace sûr pour que les élèves ou étudiant·es de la communauté LGBTQ+ se sentent inclu·es dans leur établissement d'enseignement?","Gérer les comportements",1,"Indicateur #1","Degré de reconnaissance perçue de son identité (de genre ou orientation sexuelle)","De ""pas du tout"" 1 à 6 ""Tout à fait""","Deux fois par an","L'élève ou l'étudiant·e","Dès le primaire (si possible)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"65","Comment créer un espace sûr pour que les élèves ou étudiant·es de la communauté LGBTQ+ se sentent inclu·es dans leur établissement d'enseignement?","Gérer les comportements",1,"Indicateur #2","Nombre de situations de harcèlement / violences vécues à cause de son identité (de genre ou orientation sexuelle)","2 situations","Tous les deux ou trois mois","L'élève ou l'étudiant·e ET l'équipe pédaogique (si témoins de situations)","Dès le primaire","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"65","Comment créer un espace sûr pour que les élèves ou étudiant·es de la communauté LGBTQ+ se sentent inclu·es dans leur établissement d'enseignement?","Gérer les comportements",1,"Indicateur #3","Intensité perçue de chaque situation de harcèlement / violence vécue à cause de son identité (de genre ou orientation sexuelle)","Échelle de 1 à 6","Tous les deux ou trois mois","L'élève ou l'étudiant·e ET l'équipe pédaogique (si témoins de situations)","Dès le primaire","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Processus","IA/EC"
"65","Comment créer un espace sûr pour que les élèves ou étudiant·es de la communauté LGBTQ+ se sentent inclu·es dans leur établissement d'enseignement?","Gérer les comportements",1,"Indicateur #4","Qualité des protocoles de l'établissement pour gérer les situations de harcèlement / violences LGBTQ+","De ""mauvaise qualité"" 1 à 6 ""excellente qualité""","Deux fois par an","Chaque acteur·rice impliqué·e pour relever ce défi","Dès le primaire","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Qualitatif","Processus","Processus","IA/EC"
"65","Comment créer un espace sûr pour que les élèves ou étudiant·es de la communauté LGBTQ+ se sentent inclu·es dans leur établissement d'enseignement?","Gérer les comportements",1,"Indicateur #5","Degré de connaissance des protocoles de son établissement","Oui ou non","Deux fois par an","Chaque acteur·rice impliqué·e pour relever ce défi","Dès le primaire (si possible)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"65","Comment créer un espace sûr pour que les élèves ou étudiant·es de la communauté LGBTQ+ se sentent inclu·es dans leur établissement d'enseignement?","Gérer les comportements",1,"Indicateur #6","Sentiment de sécurité au sein de l'établissement éducatif par rapport à son identité (de genre ou orientation sexuelle)","De ""pas du tout en sécurité / besoin d'aide"" 1 à 6 ""je me sens en sécurité à tout moment""","Deux fois par an","Chaque élève ou étudiant·e","Dès le primaire","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"67","Comment développer le raisonnement logique chez des élèves de bac Professionnel dans les disciplines professionnelles techniques?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #1","Nombre d'élève capable de résoudre en autonomie un problème de type ex 1","Réponses justes","A la fin des actions de formation sur le sujet.","L'enseignant","BAc Pro","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","MC/CD"
"67","Comment développer le raisonnement logique chez des élèves de bac Professionnel dans les disciplines professionnelles techniques?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #2","Nombre d'élève capable de résoudre en autonomie un problème de type ex 2","Réponses justes","A la fin des actions de formation sur le sujet.","L'enseignant","BAc Pro","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","MC/CD"
"67","Comment développer le raisonnement logique chez des élèves de bac Professionnel dans les disciplines professionnelles techniques?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #3","Nombre d'élève capable de dépasser en autonomie ses difficultés en projet","Avancé du projet","Tout au ong du projet","L'enseignant","BAc Pro","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Processus","MC/CD"
"69","Comment aider l'élève à la recherche d'un stage ou d'une PFMP ?","Engager les élèves / étudiants dans les tâches d’apprentissage",3,"#1","Nombre total d'élèves ayant trouver un stage sur un nombre total d'élèves à placer.","L'ensemble de la classe.","Toutes les semaines, un mois avant le stage.","Le professeur principal et le professeur de spécialité.","Collège, lycée et enseignement supérieur.","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"69","Comment aider l'élève à la recherche d'un stage ou d'une PFMP ?","Engager les élèves / étudiants dans les tâches d’apprentissage",3,"#2","Nombre total des élèves n'ayant pas trouver de stage à la date butoir.","3 élèves sur 24","Jusqu'au dernier jour avant de partir en entreprise.","Le professeur principal et le professeur de spécialité.","Collège, lycée et enseignement supérieur.","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Processus","IA/EC"
"69","Comment aider l'élève à la recherche d'un stage ou d'une PFMP ?","Engager les élèves / étudiants dans les tâches d’apprentissage",3,"#3","Nombre total d'élèves autonomes pour trouver leur entreprise d'accueil.","Tous les élèves de la classe.","Au retour de la période en entreprise.","Le professeur principal et le professeur de spécialité.","Collège, lycée et enseignement supérieur.","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #1","nombre d'élèves/étudiants qui ont consulté les ressources en ligne","","Avant chaque cours","l'enseignant·e","primaire, secondaire et supérieur","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Finalité","MC/CD"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #2","nombre d'élèves/étudiants qui ont partagés de nouvelles ressources","","Deux fois : en milieu et à la fin de l'enseignement","l'enseignant·e","primaire, secondaire et supérieur","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Finalité","MC/CD"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #3","degré d'implication de chaque étudiant dans les activités de groupe sur une échelle de 1 (pas du tout) à 5 (beaucoup)","","Ã la fin de chaque cours","les élèves/étudiant·e·s (en auto-évaluation et en évaluation par les pairs)","primaire, secondaire et supérieur","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Processus","MC/CD"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #4","qualité des interactions (feedback entre élèves/étudiants, explication de concepts, etc.)","","3 fois réparties dans l'année (à T1, T2 et T3, même intervalle)","les élèves/étudiant·e·s et l'enseignant·e (en co-évaluation)","primaire, secondaire et supérieur","Oui","Oui","Qualitatif","Processus","Oui","Oui","Oui","Oui","Qualitatif","Qualitatif","Processus","Processus","MC/CD"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #5a","Quantité des interactions (tours de parole)","","3 fois réparties dans l'année (à T1, T2 et T3, même intervalle)","les élèves/étudiant·e·s et l'enseignant·e (en co-évaluation)","primaire, secondaire et supérieur","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Processus","MC/CD"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #5b","Quota prise de parole enseignant·e / étudiant·e","","3 fois réparties dans l'année (à T1, T2 et T3, même intervalle)","les élèves/étudiant·e·s et l'enseignant·e (en co-évaluation)","primaire, secondaire et supérieur","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Processus","MC/CD"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #6a","Réussite aux évaluations : pourcentage d'élèves ayant validé les examens (exemple : résultat supérieur à 10/20)","","à la fin de chaque évaluation","l'enseignant·e","primaire, secondaire et supérieur","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","MC/CD"
"7","Comment enseigner de nouvelles notions à distance ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",2,"Indicateur #6b","Réussite aux évaluations : nombre d'élèves ayant atteint un ou plusieurs objectifs d'apprentissage identifié(s) en début d'année","","à la fin de chaque évaluation","l'enseignant·e et les élèves/étudiant·e·s (auto-évaluation de leur expérience d'apprentissage)","primaire, secondaire et supérieur","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","MC/CD"
"DC1","Comment mettre en œuvre, en équipe pluridisciplinaire, un projet d’orientation ambitieux et effectif ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #2","Nombre d'actions collaboratives via un tableau de bord à définir par chaque SEGPA","","Chaque trimestre","Les Dacs","Segpa","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Processus","Finalité","MC/CD"
"DC1","Comment mettre en œuvre, en équipe pluridisciplinaire, un projet d’orientation ambitieux et effectif ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #3a","Degré d'adhésion de chaque professeur pour relever ce défi.Par exemple, “Sur une échelle de 1 à 5, indiquez votre degré d'adhésion concernant la réalisation de ce défi.""","","Avant chaque période de vacances scolaires","Tous les professeurs de l'équipe pédagogique","Segpa","Oui","Oui","Quantitatif","Processus","Oui","Oui","Oui","Non","Quantitatif","Quantitatif",NA,NA,"MC/CD"
"DC1","Comment mettre en œuvre, en équipe pluridisciplinaire, un projet d’orientation ambitieux et effectif ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #3b","Champ de texte libre concernant le degré d'adhésion","","Avant chaque période de vacances scolaires","Tous les professeurs de l'équipe pédagogique","Segpa","Oui","Oui","Qualitatif","Processus","Oui","Oui","Oui","Non","Qualitatif","Qualitatif",NA,NA,"MC/CD"
"DC10","Comment rendre complémentaires les séances d'enseignement de l'analyse fonctionnelle et structurelle (AFS) avec celles de l'enseignement de la spécialité professionnelle ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",5,"Indicateur #1","Existence d'une progression commune spécialité / AFS","OUI/NON","1 fois","Les enseignants concernés","Lycée professionnel.","Oui","Oui","Quantitatif","Processus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC10","Comment rendre complémentaires les séances d'enseignement de l'analyse fonctionnelle et structurelle (AFS) avec celles de l'enseignement de la spécialité professionnelle ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",5,"Indicateur #2","Nombre d'activités réalisées de manière collaborative entre spécialité et AFS","Au moins 1 par séquence","Lors de chaque séquence","Les enseignants concernés","Lycée professionnel.","Oui","Oui","Quantitatif","Processus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC10","Comment rendre complémentaires les séances d'enseignement de l'analyse fonctionnelle et structurelle (AFS) avec celles de l'enseignement de la spécialité professionnelle ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",5,"Indicateur #3","Nombre d'élèves percevant le lien entre enseignement de spécialité et d'AFS","Au moins la moitié","Questionnaire à la fin de chaque séquence","Les élèves","Lycée professionnel.","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC10","Comment rendre complémentaires les séances d'enseignement de l'analyse fonctionnelle et structurelle (AFS) avec celles de l'enseignement de la spécialité professionnelle ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",5,"Indicateur #4","Nombre de situations conceptualisées de manière collaborative entre spécialité et AFS","Au moins 1 par séquence","Lors de chaque séquence","Les enseignants concernés","Lycée professionnel.","Oui","Oui","Quantitatif","Processus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC10","Comment rendre complémentaires les séances d'enseignement de l'analyse fonctionnelle et structurelle (AFS) avec celles de l'enseignement de la spécialité professionnelle ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",5,"Indicateur #5a","Nombre d'élèves qui se posent des questions en lien avec l'AFS pendant l'activité proposée en atelier. Elèves positionnés selon 3 niveaux de questionnement en lien avec l'AFS
Niveau 1: pas de questionnement
Exemples: l'élève débute la t""che d'atelier sans identifier les points clés de l'intervention. Il a les outils en main avant de réfléchir. “Mais ça [écrire les processus AFS] on ne le fait / on ne s'en sert pas en atelier""
Niveau 2: questionnement limité
Exemples: élève qui se questionne mais qui n'a pas utilisé les outils d'AFS donnés en anticipation de séance. 
Niveau 3: bon questionnement
Exemples: élève qui utilise bien les outils d'AFS et les met bien en pratique dans son action. Il mobilise les connaissances ou va les chercher auprès des enseignants / ses cours.","","1 fois par mois, sur un créneau de 30min, lorsque les activités de l'atelier commencent","Les enseignants","","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC10","Comment rendre complémentaires les séances d'enseignement de l'analyse fonctionnelle et structurelle (AFS) avec celles de l'enseignement de la spécialité professionnelle ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",5,"Indicateur #5b","Pourcentage d'élèves qui se posent des questions en lien avec l'AFS pendant l'activité proposée en atelier. Elèves positionnés selon 3 niveaux de questionnement en lien avec l'AFS
Niveau 1: pas de questionnement
Exemples: l'élève débute la t""che d'atelier sans identifier les points clés de l'intervention. Il a les outils en main avant de réfléchir. “Mais ça [écrire les processus AFS] on ne le fait / on ne s'en sert pas en atelier""
Niveau 2: questionnement limité
Exemples: élève qui se questionne mais qui n'a pas utilisé les outils d'AFS donnés en anticipation de séance. 
Niveau 3: bon questionnement
Exemples: élève qui utilise bien les outils d'AFS et les met bien en pratique dans son action. Il mobilise les connaissances ou va les chercher auprès des enseignants / ses cours.","","1 fois par mois, sur un créneau de 30min, lorsque les activités de l'atelier commencent","Les enseignants","","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #1","Nombre d'élèves concernés par le sujet avant et aprèsSondage / Questionnaire","25 élèves au début98 élèves après","Constat aléatoire en fonction des besoins (bilan , débat en cour)","Les enseignants, les élèves élus","Primaire / secondaire","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #2a","appréciation d'élèves concernant l'impact de la mise en oeuvre d'une action de ce défi: Avez-vous idenitifé un ou des impacts positifs ? (Oui / Non)","","2 fois : pendant et aprèsPoint d'étape (avant, pendant, après).","Tous les acteurs et partenaires","Primaire / secondaire","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #2b","appréciation des personnels concernant l'impact de la mise en oeuvre d'une action de ce défi Avez-vous identifié un ou des impacts positifs ? (Oui / Non)","","2 fois : pendant et aprèsPoint d'étape (avant, pendant, après).","Tous les acteurs et partenaires","Primaire / secondaire","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #2c","appréciation d'élèves concernant l'impact de la mise en oeuvre d'une action de ce défi: quels impacts positifs avez-vous identifié ? (caractérisation)","Je trouve que la situation s’améliore car…","2 fois : pendant et aprèsPoint d'étape (avant, pendant, après).","Tous les acteurs et partenaires","Primaire / secondaire","Oui","Oui","Qualitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #2d","appréciation des personnels concernant l'impact de la mise en oeuvre d'une action de ce défi: quels impacts positifs avez-vous identifié ? (caractérisation)"," ","2 fois : pendant et aprèsPoint d'étape (avant, pendant, après).","Tous les acteurs et partenaires","Primaire / secondaire","Oui","Oui","Qualitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #3a","engagement des acteurs du projet","Nombre de participants engagés dans le projet","Bilan en réunion mensuel","Tous les acteurs","Primaire / secondaire","Oui","Oui","Quantitatif","Processus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #3b","engagement des partenaires du projet","Nombre de partenaires engagés dans le projet","Bilan en réunion mensuel et bilan des interventions des partenaires","Tous les partenaires","Primaire / secondaire","Oui","Oui","Quantitatif","Processus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC14","Comment aider les élèves à lutter contre la précarité menstruelle dans leur établissement ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur#4","Quantité de protection mutualisés","Évaluation du stock (hausse / baisse)","Ã chaques déploiement","Tous les acteurs et partenaires","Primaire / secondaire","Oui","Oui","Quantitatif","Processus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #1a","Mesurer Investissement des élèves","X élèves participent CDESCE","Selon rythme des instances surveillées","","","Oui","Non","Quantitatif",NA,"Oui","Oui","Non","Oui","Quantitatif","Quantitatif",NA,NA,"MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #1b","Mesurer posture des élèves","","Selon rythme des instances surveillées","","","Oui","Oui","Non défini (quanti ou quali possible)","Finalité","Oui","Oui","Oui","Oui","Qualitatif","Non défini (quanti ou quali possible)","Finalité","Processus","MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #1c","Mesurer discours des élèves","mesure du vocabulaire employé","Selon rythme des instances surveillées","","","Oui","Oui","Non défini (quanti ou quali possible)","Finalité","Oui","Oui","Oui","Oui","Qualitatif","Non défini (quanti ou quali possible)","Finalité","Processus","MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #2a","Nombre de propositions qui viennent des élèves","","","","","Oui","Non","Quantitatif",NA,"Oui","Oui","Oui","Non",NA,NA,NA,NA,"MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #2b","Nombre de projets d'actions qui viennent des élèves","","","","","Oui","Non","Quantitatif",NA,"Oui","Oui","Oui","Non","Quantitatif","Quantitatif",NA,NA,"MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #3a","Degrés de prise en compte de L'EDD par tous les enseignants","","","","","Oui","Non","Quantitatif",NA,"Oui","Oui","Non","Non","Quantitatif","Quantitatif",NA,NA,"MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #3b","Pourcentage des enseignants prenant en compte l’EDD","","","","","Oui","Non","Quantitatif",NA,"Oui","Oui","Non","Non","Quantitatif","Quantitatif",NA,NA,"MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #3c","Degrés de prise en compte de L'EDD par tous les personnels","","","","","Oui","Non","Quantitatif",NA,"Oui","Oui","Non","Non","Quantitatif","Quantitatif",NA,NA,"MC/CD"
"DC15","Comment l'éducation au développement durable peut-elle prendre en charge l'éco-anxiété ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",6,"Indicateur #3d","Pourcentage des personnels prenant en compte l’EDD","","","","","Oui","Non","Quantitatif",NA,"Oui","Oui","Non","Non","Quantitatif","Quantitatif",NA,NA,"MC/CD"
